System,Element1,Element2,Element3
Al-C-Cr,Al,C,Cr
Al-C-Ni,Al,C,Ni
Al-Co-Cr,Al,Co,Cr
Al-Co-Hf,Al,Co,Hf
Al-Co-Mo,Al,Co,Mo
Al-Co-Nb,Al,Co,Nb
Al-Co-Ru,Al,Co,Ru
Al-Co-Si,Al,Co,Si
Al-Co-Ta,Al,Co,Ta
Al-Cr-Fe,Al,Cr,Fe
Al-Cr-Mo,Al,Cr,Mo
Al-Cr-Nb,Al,Cr,Nb
Al-Cr-Re,Al,Cr,Re
Al-Cr-Ru,Al,Cr,Ru
Al-Cr-Si,Al,Cr,Si
Al-Cr-Ta,Al,Cr,Ta
Al-Cr-W,Al,Cr,W
Al-Cr-Zr,Al,Cr,Zr
Al-C-Si,Al,C,Si
Al-Fe-Hf,Al,Fe,Hf
Al-Fe-Mo,Al,Fe,Mo
Al-Fe-Nb,Al,Fe,Nb
Al-Fe-Ni,Al,Fe,Ni
Al-Fe-Re,Al,Fe,Re
Al-Fe-Ta,Al,Fe,Ta
Al-Fe-W,Al,Fe,W
Al-Fe-Zr,Al,Fe,Zr
Al-Hf-Ni,Al,Hf,Ni
Al-Hf-Ru,Al,Hf,Ru
Al-Hf-Si,Al,Hf,Si
Al-Hf-Ti,Al,Hf,Ti
Al-Mo-Nb,Al,Mo,Nb
Al-Mo-Re,Al,Mo,Re
Al-Mo-Ru,Al,Mo,Ru
Al-Mo-Si,Al,Mo,Si
Al-Mo-Ta,Al,Mo,Ta
Al-Mo-W,Al,Mo,W
Al-Mo-Zr,Al,Mo,Zr
Al-Nb-Re,Al,Nb,Re
Al-Nb-Ru,Al,Nb,Ru
Al-Nb-Si,Al,Nb,Si
Al-Nb-Ta,Al,Nb,Ta
Al-Nb-W,Al,Nb,W
Al-Ni-Re,Al,Ni,Re
Al-Ni-V,Al,Ni,V
Al-Ni-Zr,Al,Ni,Zr
Al-Re-Ru,Al,Re,Ru
Al-Re-Ta,Al,Re,Ta
Al-Re-Ti,Al,Re,Ti
Al-Re-W,Al,Re,W
Al-Ru-Ta,Al,Ru,Ta
Al-Ru-W,Al,Ru,W
Al-Ru-Zr,Al,Ru,Zr
Al-Si-Zr,Al,Si,Zr
Al-Ta-W,Al,Ta,W
C-Co-Re,C,Co,Re
C-Co-V,C,Co,V
C-Cr-Mn,C,Cr,Mn
C-Cr-Mo,C,Cr,Mo
C-Cr-N,C,Cr,N
C-Cr-Nb,C,Cr,Nb
C-Cr-Ni,C,Cr,Ni
C-Cr-Re,C,Cr,Re
C-Cr-Ta,C,Cr,Ta
C-Cr-W,C,Cr,W
C-Fe-Nb,C,Fe,Nb
C-Fe-Re,C,Fe,Re
C-Fe-Ta,C,Fe,Ta
C-Hf-Nb,C,Hf,Nb
C-Hf-Ta,C,Hf,Ta
C-Hf-Ti,C,Hf,Ti
C-Hf-V,C,Hf,V
C-Hf-W,C,Hf,W
C-Mn-V,C,Mn,V
C-Mo-N,C,Mo,N
C-Mo-Re,C,Mo,Re
C-Mo-Si,C,Mo,Si
C-Nb-Ta,C,Nb,Ta
C-Nb-V,C,Nb,V
C-Nb-Zr,C,Nb,Zr
C-Ni-V,C,Ni,V
C-N-Nb,C,N,Nb
C-N-Ti,C,N,Ti
Co-Cr-Hf,Co,Cr,Hf
Co-Cr-Mo,Co,Cr,Mo
Co-Cr-Nb,Co,Cr,Nb
Co-Cr-Re,Co,Cr,Re
Co-Cr-Ru,Co,Cr,Ru
Co-Cr-Si,Co,Cr,Si
Co-Cr-Ta,Co,Cr,Ta
Co-Cr-V,Co,Cr,V
Co-Cu-Ti,Co,Cu,Ti
Co-Fe-Hf,Co,Fe,Hf
Co-Fe-Nb,Co,Fe,Nb
Co-Fe-Ta,Co,Fe,Ta
Co-Fe-Ti,Co,Fe,Ti
Co-Fe-V,Co,Fe,V
Co-Fe-Zr,Co,Fe,Zr
Co-Hf-Ni,Co,Hf,Ni
Co-Hf-Si,Co,Hf,Si
Co-Hf-Ti,Co,Hf,Ti
Co-Mo-Nb,Co,Mo,Nb
Co-Mo-Ni,Co,Mo,Ni
Co-Mo-Re,Co,Mo,Re
Co-Mo-Ru,Co,Mo,Ru
Co-Mo-Ta,Co,Mo,Ta
Co-Mo-V,Co,Mo,V
Co-Mo-W,Co,Mo,W
Co-Nb-Ni,Co,Nb,Ni
Co-Nb-Si,Co,Nb,Si
Co-Nb-Ta,Co,Nb,Ta
Co-Nb-Ti,Co,Nb,Ti
Co-Nb-W,Co,Nb,W
Co-Ni-Re,Co,Ni,Re
Co-Ni-Ru,Co,Ni,Ru
Co-Ni-Ta,Co,Ni,Ta
Co-Ni-Ti,Co,Ni,Ti
Co-Ni-Zr,Co,Ni,Zr
Co-Re-Ta,Co,Re,Ta
Co-Re-Ti,Co,Re,Ti
Co-Re-V,Co,Re,V
Co-Re-W,Co,Re,W
Co-Ru-Ta,Co,Ru,Ta
Co-Ru-W,Co,Ru,W
Co-Si-Ta,Co,Si,Ta
Co-Si-Ti,Co,Si,Ti
Co-Si-W,Co,Si,W
Co-Si-Zr,Co,Si,Zr
Co-Ta-W,Co,Ta,W
Co-Ti-W,Co,Ti,W
Co-Ti-Zr,Co,Ti,Zr
Cr-Cu-Ni,Cr,Cu,Ni
C-Re-Ta,C,Re,Ta
C-Re-V,C,Re,V
C-Re-W,C,Re,W
Cr-Fe-Hf,Cr,Fe,Hf
Cr-Fe-Nb,Cr,Fe,Nb
Cr-Fe-Re,Cr,Fe,Re
Cr-Fe-Ta,Cr,Fe,Ta
Cr-Fe-Ti,Cr,Fe,Ti
Cr-Fe-W,Cr,Fe,W
Cr-Fe-Zr,Cr,Fe,Zr
Cr-Hf-Mo,Cr,Hf,Mo
Cr-Hf-Nb,Cr,Hf,Nb
Cr-Hf-Ni,Cr,Hf,Ni
Cr-Hf-Re,Cr,Hf,Re
Cr-Hf-Si,Cr,Hf,Si
Cr-Hf-Ta,Cr,Hf,Ta
Cr-Hf-W,Cr,Hf,W
Cr-Mo-N,Cr,Mo,N
Cr-Mo-Re,Cr,Mo,Re
Cr-Mo-Ru,Cr,Mo,Ru
Cr-Mo-Si,Cr,Mo,Si
Cr-Mo-Ta,Cr,Mo,Ta
Cr-Mo-W,Cr,Mo,W
Cr-Mo-Zr,Cr,Mo,Zr
Cr-Nb-Re,Cr,Nb,Re
Cr-Nb-Si,Cr,Nb,Si
Cr-Nb-Ta,Cr,Nb,Ta
Cr-Nb-Ti,Cr,Nb,Ti
Cr-Nb-Zr,Cr,Nb,Zr
Cr-Ni-Ru,Cr,Ni,Ru
Cr-Ni-V,Cr,Ni,V
Cr-N-Nb,Cr,N,Nb
Cr-N-V,Cr,N,V
Cr-Re-Ru,Cr,Re,Ru
Cr-Re-Ta,Cr,Re,Ta
Cr-Re-Ti,Cr,Re,Ti
Cr-Re-V,Cr,Re,V
Cr-Re-W,Cr,Re,W
Cr-Re-Zr,Cr,Re,Zr
Cr-Ru-Ta,Cr,Ru,Ta
Cr-Ru-Ti,Cr,Ru,Ti
Cr-Ru-W,Cr,Ru,W
Cr-Si-Ta,Cr,Si,Ta
Cr-Si-W,Cr,Si,W
Cr-Si-Zr,Cr,Si,Zr
Cr-Ta-Ti,Cr,Ta,Ti
Cr-Ta-W,Cr,Ta,W
Cr-Ta-Zr,Cr,Ta,Zr
Cr-Ti-V,Cr,Ti,V
Cr-Ti-W,Cr,Ti,W
Cr-W-Zr,Cr,W,Zr
C-Si-Ti,C,Si,Ti
C-Ta-Ti,C,Ta,Ti
C-Ta-V,C,Ta,V
C-Ta-Zr,C,Ta,Zr
C-Ti-V,C,Ti,V
C-Ti-Zr,C,Ti,Zr
Cu-Ni-Si,Cu,Ni,Si
C-V-W,C,V,W
C-V-Zr,C,V,Zr
C-W-Zr,C,W,Zr
Fe-Hf-Mo,Fe,Hf,Mo
Fe-Hf-Nb,Fe,Hf,Nb
Fe-Hf-Ni,Fe,Hf,Ni
Fe-Hf-Re,Fe,Hf,Re
Fe-Hf-Si,Fe,Hf,Si
Fe-Hf-Ta,Fe,Hf,Ta
Fe-Hf-Ti,Fe,Hf,Ti
Fe-Hf-W,Fe,Hf,W
Fe-Hf-Zr,Fe,Hf,Zr
Fe-Mn-Ni,Fe,Mn,Ni
Fe-Mo-N,Fe,Mo,N
Fe-Mo-Nb,Fe,Mo,Nb
Fe-Mo-Re,Fe,Mo,Re
Fe-Mo-Si,Fe,Mo,Si
Fe-Mo-Ta,Fe,Mo,Ta
Fe-Mo-Ti,Fe,Mo,Ti
Fe-Mo-W,Fe,Mo,W
Fe-Mo-Zr,Fe,Mo,Zr
Fe-Nb-Re,Fe,Nb,Re
Fe-Nb-Si,Fe,Nb,Si
Fe-Nb-Ta,Fe,Nb,Ta
Fe-Nb-Ti,Fe,Nb,Ti
Fe-Nb-W,Fe,Nb,W
Fe-Nb-Zr,Fe,Nb,Zr
Fe-Ni-Ta,Fe,Ni,Ta
Fe-Ni-V,Fe,Ni,V
Fe-Ni-Zr,Fe,Ni,Zr
Fe-Re-Ta,Fe,Re,Ta
Fe-Re-Ti,Fe,Re,Ti
Fe-Re-W,Fe,Re,W
Fe-Re-Zr,Fe,Re,Zr
Fe-Si-Ta,Fe,Si,Ta
Fe-Si-Ti,Fe,Si,Ti
Fe-Si-W,Fe,Si,W
Fe-Si-Zr,Fe,Si,Zr
Fe-Ta-Ti,Fe,Ta,Ti
Fe-Ta-W,Fe,Ta,W
Fe-Ta-Zr,Fe,Ta,Zr
Fe-Ti-W,Fe,Ti,W
Fe-W-Zr,Fe,W,Zr
Hf-Mo-Ni,Hf,Mo,Ni
Hf-Mo-Re,Hf,Mo,Re
Hf-Mo-Si,Hf,Mo,Si
Hf-Nb-Ni,Hf,Nb,Ni
Hf-Nb-Re,Hf,Nb,Re
Hf-Ni-Re,Hf,Ni,Re
Hf-Ni-Ru,Hf,Ni,Ru
Hf-Ni-Si,Hf,Ni,Si
Hf-Ni-Ta,Hf,Ni,Ta
Hf-Ni-W,Hf,Ni,W
Hf-Re-Ta,Hf,Re,Ta
Hf-Re-W,Hf,Re,W
Hf-Ru-Ti,Hf,Ru,Ti
Hf-Ru-Zr,Hf,Ru,Zr
Hf-Si-Ta,Hf,Si,Ta
Hf-Si-Ti,Hf,Si,Ti
Hf-Si-W,Hf,Si,W
Mn-Ni-V,Mn,Ni,V
Mo-Nb-Ni,Mo,Nb,Ni
Mo-Nb-Re,Mo,Nb,Re
Mo-Nb-Ta,Mo,Nb,Ta
Mo-Ni-Re,Mo,Ni,Re
Mo-Ni-Ru,Mo,Ni,Ru
Mo-Ni-Si,Mo,Ni,Si
Mo-Ni-Ti,Mo,Ni,Ti
Mo-Ni-W,Mo,Ni,W
Mo-Ni-Zr,Mo,Ni,Zr
Mo-N-V,Mo,N,V
Mo-Re-Ru,Mo,Re,Ru
Mo-Re-Ta,Mo,Re,Ta
Mo-Re-Ti,Mo,Re,Ti
Mo-Re-V,Mo,Re,V
Mo-Re-W,Mo,Re,W
Mo-Re-Zr,Mo,Re,Zr
Mo-Ru-Si,Mo,Ru,Si
Mo-Ru-Ta,Mo,Ru,Ta
Mo-Ru-W,Mo,Ru,W
Mo-Si-Zr,Mo,Si,Zr
Nb-Ni-Re,Nb,Ni,Re
Nb-Ni-Si,Nb,Ni,Si
Nb-Ni-Ta,Nb,Ni,Ta
Nb-Ni-V,Nb,Ni,V
Nb-Ni-Zr,Nb,Ni,Zr
Nb-Re-Ta,Nb,Re,Ta
Nb-Re-Ti,Nb,Re,Ti
Nb-Re-W,Nb,Re,W
Nb-Re-Zr,Nb,Re,Zr
Nb-Ru-Si,Nb,Ru,Si
Nb-Si-Ti,Nb,Si,Ti
Ni-Re-Ta,Ni,Re,Ta
Ni-Re-Ti,Ni,Re,Ti
Ni-Re-W,Ni,Re,W
Ni-Re-Zr,Ni,Re,Zr
Ni-Ru-Ta,Ni,Ru,Ta
Ni-Ru-Ti,Ni,Ru,Ti
Ni-Ru-W,Ni,Ru,W
Ni-Ru-Zr,Ni,Ru,Zr
Ni-Si-Ta,Ni,Si,Ta
Ni-Si-V,Ni,Si,V
Ni-Si-W,Ni,Si,W
Ni-Si-Zr,Ni,Si,Zr
Ni-Ta-Zr,Ni,Ta,Zr
Ni-W-Zr,Ni,W,Zr
N-Nb-Ti,N,Nb,Ti
N-Ti-V,N,Ti,V
Re-Ru-Ta,Re,Ru,Ta
Re-Ru-Ti,Re,Ru,Ti
Re-Ru-W,Re,Ru,W
Re-Ta-Ti,Re,Ta,Ti
Re-Ta-V,Re,Ta,V
Re-Ta-Zr,Re,Ta,Zr
Re-Ti-W,Re,Ti,W
Re-W-Zr,Re,W,Zr
Ru-Si-Ti,Ru,Si,Ti
Ru-Ta-Ti,Ru,Ta,Ti
Ru-Ta-W,Ru,Ta,W
Ru-Ti-Zr,Ru,Ti,Zr
Si-Ta-Zr,Si,Ta,Zr
Si-Ti-Zr,Si,Ti,Zr
Si-W-Zr,Si,W,Zr
Ta-W-Zr,Ta,W,Zr